code[tab]nom, synonyme 1, synonyme 2[tab](indication)[tab]autres champs non utilisés

E100-Curcumine, Turmérique	(Turmérique)
E1000-Acide cholique	(Acide cholique (Emulsifiant))
E1001-Sels et esters de choline, Acétate de choline, Carbonate de choline, Chlorure de choline, Citrate de choline, Tartrate de choline, Lactate de choline	(Lactate de choline, émulsifiant)
E101a-5'-phosphate sodique de riboflavine, phosphate-5' de riboflavine de sodium, sel monosodique de l'ester du phosphate-5' de riboflavine, sel monosodique de l'ester de hosphate de la vitamine B2, CAS 130-40-5, sel de l'ester monosodique de la riboflavine 5-monophosphatée	(5'-phosphate sodique de riboflavine)
E101-Riboflavine, vitamine B2, Bacillus subtilis, CAS 83-88-5 	(Riboflavine (Bacillus subtilis))
E102-Tartrazine, FD&C Yellow 5, Yellow 5, FD&C Yellow #5, C.I. Food Yellow 4, C.I. Acid Yellow 23, Acid Yellow 23, C.I. 19140, Yellow number 5, C16H9N4Na3O9S2	(Tartrazine), colorant 102, colorant alimentaire jaune CI n°4
E103-Jaune chrysoïne, Alkannine, jaune chrysoïne S, Chrysoïne S, Orcanette, Orcanete, CI rouge naturel 20, extrait d'Alkannet, crisoine, Alkannin, CI Natural Red 20, Alkanet extract, Chrysoineresorcinol, jaune de résorcinol, jaune d'or, T jaune, orange acide 6, CI 14270, résorcinol de Chrysoine	(Jaune chrysoïne)
E104-Jaune de quinoléine, colorant alimentaire jaune CI n°13, CI 47005	(Jaune de quinoléine)
E105-Jaune solide	(Jaune solide)
E106-Riboflavine-5-Sodium Phosphate, vitamine B2	(Riboflavine-5-Sodium Phosphate,vitamine B2)
E107-Jaune 2G	(Jaune 2G)
E110-Jaune orangé S, Jaune soleil FCF, Sunset yellow FCF, C16H10N2Na2O7S2, C16H10N2Ca2O7S2, C16H10N2K2O7S2, CI 15985, C.I. 15985, 6-hydroxy-5-[(4-sulfonatophényl)azo]naphtalène-2-sulfonate de disodium, C.I. Food Yellow 3, CAS 2783-94-0, SEL DISODIQUE DE L'ACIDE HYDROXY-6 ((SULFOPHENYL-4)AZO)-5 NAPHTALENE SULFONIQUE-2, Gelborange S, 2-Hydroxy-1-(4-Sulfonato-Phenylazo)-6-Naphthalin-Sulfonat, Sunset Yellow, Sunset Yellow FCF, FD & C Yellow No.6, FD and C Yellow No. 6, 6-hydroxy-5-((p-sulfophenyl)azo)-2-naphthalenesulfonic acid disodium salt, 6-Hydroxy-5-(4-sulfophenylazo)-2-naphthalenesulfonic acid trisodium salt, Gelborange-S, Sunsetgelb FCF, 6-Hydroxy-5-(4-sulfophenylazo)-naphthalin- 2-sulfonsäure-Dinatriumsalz, Amarillo crepúsculo, Amarillo ocaso, Amarillo n° 6, Zonnegeel FCF, Oranjegeel S, Crelborange S, Colorant alimentaire jaune CI n°3	(Jaune orangé S)
E1100-Amylases, Amylase, α-amylase, a-amylase, alpha-amylase, alpha-amylases, diastase, takadiastase, glycogénase, endoamylase, Taka-amylase A	(Amylases, agent de traitement des farines)
E1101-Protéases, Protéase, Papaïne, Bromélaïne, Ficine	(Ficine, agent de traitement des farines, stabilisant, exaltateur d’arôme)
E1102-Glucose oxydase	(Glucose oxydase, antioxydant)
E1103-Invertase	(Invertase (Stabilisant))
E1104-Lipases	(Lipases, exaltateur d’arôme)
E1105-Lysozyme	(Lysozyme (Agent de conservation))
E111-Orange GGN, Alpha-naphthol, Alpha-naphtol, alpha-naphthol orange	(Orange GGN, Alpha-naphthol, Alpha-naphtol)
E124-Ponceau 4R, Rouge cochenille A, cochenille nouvelle, CI No. 16255, CI Food Red 7, CAS 2611-28-7	(Ponceau 4R, Rouge cochenille A)
E120-Acide carminique, carmin, carmins, Rouge cochenille, cochenille, Carmine, Crimson Lake, Cochineal, Natural Red 4, C.I. 75470, Rouge naturel CI n°4	(Acide carminique (ou carmin ou Rouge cochenille))
E1200-Polydextrose, Poly-D-glucose, Modified polydextroses, D-glucose polymer reaction product with citric acid and sorbitol, Dextro-glucose polymer reaction product with citric acid and sorbitol, Polydextroses A, Polydextroses N 	(Polydextrose)
E1201-Poly vinyl pyrrolidone	(Poly vinyl pyrrolidone (Raffermissant, stabilisant, dispersant))
E1202	
E1203-Alcool polyvinylique	(Alcool polyvinylique (Agent d’enrobage, liant, agent de conditionnement hermétique, agent de finition superficielle))
E1204-Pullulane	(Pullulane)
E121-Rouge citrus no.2	(Rouge citrus no.2)
E122-Azorubine carmoisine	(Azorubine (ou carmoisine))
E123-Amarante	(Amarante)
E125-Ponceau SX, Écarlate GN	(Ponceau SX, Écarlate GN)
E126-Ponceau GR	(Ponceau GR)
E127-Érythrosine, erythrosine, C.I. 45430, C.I. Acid Red 51, Acid Red 51, C.I. Food Red 14, CAS 568-63-8, FD & C Red No.3, Red No. 3, FD&C No.3 rouge, nourriture No.3 rouge, Erythrosine, Erythrosine B, Erythrosin B, C.I. 45430, Tetraiodofluorescein Sodium Salt, Calcoid Erythrosine N, C.I. Food Red 14, Aizen Erythrosine, Indian Standards No. 1697, Acid Red 51, Pyrosin B, Tetraiodofluorescein, Eosin J, Iodoeosin	(Érythrosine)
E128-Rouge 2G, CI Food Red 10, Azogéranine, CI No. 18050, CAS 3734-67-6, Red 2G, C.I. 18050, Azophloxine, Azofloxin, Amidonaphthol red G, Acid Red 1, CI Acid Red 1, D&C Red 11, Azo Geranine 2G	(Rouge 2G)
E129-Rouge allura AC, Rouge Allura, Rouge alimentaire 17, FD&C Rouge 40, Allura Red, Food Red 17, C.I. 16035, FD&C Red 40, Red 40 lake, Red 40, 2-naphthalenesulfonic acid disodium salt, Allura Red AC	(Rouge allura AC)
E130-Manascorubine	(Manascorubine)
E131-Bleu patenté V	(Bleu patenté V)
E132-Indigotine carmin d'indigo	(Indigotine (ou carmin d'indigo))
E133-Bleu brillant FCF, C.I. Acid Blue 9, C.I. Food Blue 2, Blue 2 lake, Blue 2, CI 42090, C-Blau 21, Erioglaucin A, Blue 1, Brilliant Blue FCF, bleu brillant, FD&C Blue No.1, FD&C Blue #1, BB FCF, Acid Blue 9, D&C Blue No. 4, Alzen Food Blue No. 1, Atracid Blue FG, Erioglaucine, Eriosky blue, Patent Blue AR, Xylene Blue VSG, CAS 25305-78-6, CAS 2650-18-2, CAS 3844-45-9, CAS 71701-18-3, CAS 15792-67-3	(Bleu brillant FCF)
